37;Xerox;WorkCentre 7525;6500.000;130.000;25;letter/legal/11x17;color;copier;12.000;0.070;0.013;0.000;https://copierleasecenter.com/copier_files/copier-images/037_workcentre7525.png;https://copierleasecenter.com/copier_files/copier-pdf/037_038_039_040_041_workcentre7525_7530_7535_7545_7556.PDF
38;Xerox;WorkCentre 7530;7000.000;140.000;30;letter/legal/11x17;color;copier;12.000;0.070;0.013;0.000;https://copierleasecenter.com/copier_files/copier-images/038_workcentre7530.png;https://copierleasecenter.com/copier_files/copier-pdf/037_038_039_040_041_workcentre7525_7530_7535_7545_7556.PDF
39;Xerox;WorkCentre 7535;8000.000;160.000;35;letter/legal/11x17;color;copier;12.000;0.070;0.013;0.000;https://copierleasecenter.com/copier_files/copier-images/039_workcentre7535.png;https://copierleasecenter.com/copier_files/copier-pdf/037_038_039_040_041_workcentre7525_7530_7535_7545_7556.PDF
40;Xerox;WorkCentre 7545;9000.000;180.000;45;letter/legal/11x17;color;copier;12.000;0.070;0.013;0.000;https://copierleasecenter.com/copier_files/copier-images/040_workcentre7545.png;https://copierleasecenter.com/copier_files/copier-pdf/037_038_039_040_041_workcentre7525_7530_7535_7545_7556.PDF
41;Xerox;WorkCentre 7556;11000.000;220.000;55;letter/legal/11x17;color;copier;12.000;0.068;0.013;0.000;https://copierleasecenter.com/copier_files/copier-images/041_workcentre7556.png;https://copierleasecenter.com/copier_files/copier-pdf/037_038_039_040_041_workcentre7525_7530_7535_7545_7556.PDF
42;Xerox;WorkCentre 7830i;7000.000;140.000;30;letter/legal/11x17;color;copier;12.000;0.070;0.013;0.000;https://copierleasecenter.com/copier_files/copier-images/042_workcentre7830_i.png;https://copierleasecenter.com/copier_files/copier-pdf/042_043_044_045_workcentre7830_i_7835_i_7845_i_7855_i.PDF
43;Xerox;WorkCentre 7835i;8000.000;160.000;35;letter/legal/11x17;color;copier;12.000;0.070;0.013;0.000;https://copierleasecenter.com/copier_files/copier-images/043_workcentre7835_i.png;https://copierleasecenter.com/copier_files/copier-pdf/042_043_044_045_workcentre7830_i_7835_i_7845_i_7855_i.PDF
44;Xerox;WorkCentre 7845i;9000.000;180.000;45;letter/legal/11x17;color;copier;12.000;0.070;0.013;0.000;https://copierleasecenter.com/copier_files/copier-images/044_workcentre7845_i.png;https://copierleasecenter.com/copier_files/copier-pdf/042_043_044_045_workcentre7830_i_7835_i_7845_i_7855_i.PDF
45;Xerox;WorkCentre 7855i;11000.000;220.000;55;letter/legal/11x17;color;copier;12.000;0.070;0.013;0.000;https://copierleasecenter.com/copier_files/copier-images/045_workcentre7855_i.png;https://copierleasecenter.com/copier_files/copier-pdf/042_043_044_045_workcentre7830_i_7835_i_7845_i_7855_i.PDF
46;Xerox;WorkCentre 5945i;6800.000;136.000;45;letter/legal/11x17;mono;copier;20.000;0.000;0.011;0.000;https://copierleasecenter.com/copier_files/copier-images/046_workcentre5945_i.png;https://copierleasecenter.com/copier_files/copier-pdf/046_047_workcentre5945_i_5955_i.PDF
47;Xerox;WorkCentre 5955i;7800.000;156.000;55;letter/legal/11x17;mono;copier;20.000;0.000;0.011;0.000;https://copierleasecenter.com/copier_files/copier-images/047_workcentre5955_i.png;https://copierleasecenter.com/copier_files/copier-pdf/046_047_workcentre5945_i_5955_i.PDF
48;Xerox;colorQube 9301;21000.000;420.000;50;letter/legal/11x17;color;copier;25.000;0.060;0.015;0.000;https://copierleasecenter.com/copier_files/copier-images/048_colorqube9301.png;https://copierleasecenter.com/copier_files/copier-pdf/048_colorqube9301_9302_9303.PDF
49;Xerox;WorkCentre 5865;12500.000;250.000;65;letter/legal/11x17;mono;copier;40.000;0.000;0.008;0.000;https://copierleasecenter.com/copier_files/copier-images/049_workcentre5865.png;https://copierleasecenter.com/copier_files/copier-pdf/049_050_051_workcentre5865_5875_5890.PDF
50;Xerox;WorkCentre 5875;14000.000;280.000;75;letter/legal/11x17;mono;copier;40.000;0.000;0.008;0.000;https://copierleasecenter.com/copier_files/copier-images/050_workcentre5875.png;https://copierleasecenter.com/copier_files/copier-pdf/049_050_051_workcentre5865_5875_5890.PDF
51;Xerox;WorkCentre 5890;16000.000;320.000;90;letter/legal/11x17;mono;copier;40.000;0.000;0.008;0.000;https://copierleasecenter.com/copier_files/copier-images/051_workcentre5890.png;https://copierleasecenter.com/copier_files/copier-pdf/049_050_051_workcentre5865_5875_5890.PDF
52;Xerox;WorkCentre 5865i;12500.000;250.000;65;letter/legal/11x17;mono;copier;40.000;0.000;0.008;0.000;https://copierleasecenter.com/copier_files/copier-images/052_workcentre5865i.png;https://copierleasecenter.com/copier_files/copier-pdf/052_053_workcentre5865i_5875i_5890i.PDF
53;Xerox;WorkCentre 5890i;16000.000;320.000;90;letter/legal/11x17;mono;copier;40.000;0.000;0.008;0.000;https://copierleasecenter.com/copier_files/copier-images/053_workcentre5890_i.png;https://copierleasecenter.com/copier_files/copier-pdf/052_053_workcentre5865i_5875i_5890i.PDF
54;Xerox;WorkCentre 7970i;18000.000;360.000;70;letter/legal/11x17;color;copier;20.000;0.060;0.011;0.000;https://copierleasecenter.com/copier_files/copier-images/054_workcentre7970_i.png;https://copierleasecenter.com/copier_files/copier-pdf/054_workcentre7970_i.PDF
